ExistingAccountStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,CurrentEmplymentStatus,InstallmentRate,PersonalStatusAndSex,OtherGuarantors,DurationInCurrentResidence,Property,Age,OtherInstallment,Housing,ExistingCredits,Job,PeopleLiable,Telephone,ForeignWorker,Sex,Marital_Status,ClassificationStatus
None,12,no credits taken/ all credits paid back duly ,Repairs,1108,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,3,Real Estate,28,None,Own,2,Skilled,1,no,yes,Male,Single,0
No Account,12,critical account/ other credits existing (not at this bank),Radio/TV,618,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,56,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,12,critical account/ other credits existing (not at this bank),Car (Used),1409,Below 100 DM,Above 7 Years,4,"Male, Single",None,3,Real Estate,54,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Radio/TV,797,None,Above 7 Years,4,"Female, Divorced",None,3,Life Insurance,33,Bank,Own,1,Unskilled Resident,2,no,yes,Female,Divorced,0
Above 200 DM,24,critical account/ other credits existing (not at this bank),Furniture,3617,None,Above 7 Years,4,"Male, Single",Co-Applicant,4,None,20,None,Rent,2,Skilled,1,no,yes,Male,Single,1
Below 200 DM,12,existing credits paid back duly till now ,Car (New),1318,Above 1000 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,54,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,54,no credits taken/ all credits paid back duly ,Business,15945,Below 100 DM,<1 Year,3,"Male, Single",None,4,None,58,None,Rent,1,Skilled,1,yes,yes,Male,Single,0
No Account,12,critical account/ other credits existing (not at this bank),Education,2012,None,"[4, 7) Years",4,"Female, Divorced",None,2,Car,61,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,18,existing credits paid back duly till now ,Business,2622,"[100, 500) DM","[1, 4) Years",4,"Male, Single",None,4,Car,34,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,36,critical account/ other credits existing (not at this bank),Radio/TV,2337,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,36,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,20,delay in paying off in the past ,Car (Used),7057,None,"[4, 7) Years",3,"Male, Single",None,4,Life Insurance,36,Bank,Rent,2,Executive,2,yes,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Car (New),1469,"[100, 500) DM",Above 7 Years,4,"Male, Married/Widowed",None,4,Real Estate,41,None,Rent,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
Below 200 DM,36,existing credits paid back duly till now ,Radio/TV,2323,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,4,Car,24,None,Rent,1,Skilled,1,no,yes,Male,Single,1
No Account,6,delay in paying off in the past ,Radio/TV,932,Below 100 DM,"[1, 4) Years",3,"Female, Divorced",None,2,Real Estate,24,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,9,critical account/ other credits existing (not at this bank),Furniture,1919,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,3,Car,35,None,Rent,1,Skilled,1,yes,yes,Male,Single,1
No Account,12,existing credits paid back duly till now ,Car (Used),2445,None,<1 Year,2,"Male, Married/Widowed",None,4,Car,26,None,Rent,1,Skilled,1,yes,yes,Male,Married/Widowed,1
Below 200 DM,24,critical account/ other credits existing (not at this bank),Others,11938,Below 100 DM,"[1, 4) Years",2,"Male, Single",Co-Applicant,3,Car,39,None,Own,2,Executive,2,yes,yes,Male,Single,0
No Account,18,all credits at this bank paid back duly ,Car (New),6458,Below 100 DM,Above 7 Years,2,"Male, Single",None,4,None,39,Bank,Own,2,Executive,2,yes,yes,Male,Single,0
Below 200 DM,12,existing credits paid back duly till now ,Car (New),6078,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,2,Car,32,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,24,existing credits paid back duly till now ,Furniture,7721,None,<1 Year,1,"Female, Divorced",None,2,Life Insurance,30,None,Own,1,Skilled,1,yes,no,Female,Divorced,1
Below 200 DM,14,existing credits paid back duly till now ,Business,1410,"[500, 1000) DM",Above 7 Years,1,"Male, Married/Widowed",None,2,Real Estate,35,None,Own,1,Skilled,1,yes,yes,Male,Married/Widowed,1
Below 200 DM,6,delay in paying off in the past ,Business,1449,"[100, 500) DM",Above 7 Years,1,"Male, Divorced",None,2,Car,31,Bank,Own,2,Skilled,2,no,yes,Male,Divorced,1
Above 200 DM,15,existing credits paid back duly till now ,Education,392,Below 100 DM,<1 Year,4,"Female, Divorced",None,4,Life Insurance,23,None,Rent,1,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,18,existing credits paid back duly till now ,Car (New),6260,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,3,Real Estate,28,None,Rent,1,Unskilled Resident,1,no,yes,Male,Single,1
No Account,36,critical account/ other credits existing (not at this bank),Car (New),7855,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,2,Real Estate,25,Stores,Own,2,Skilled,1,yes,yes,Female,Divorced,0
None,12,existing credits paid back duly till now ,Radio/TV,1680,"[500, 1000) DM",Above 7 Years,3,"Male, Married/Widowed",None,1,Real Estate,35,None,Own,1,Skilled,1,no,yes,Male,Married/Widowed,1
No Account,48,critical account/ other credits existing (not at this bank),Radio/TV,3578,None,Above 7 Years,4,"Male, Single",None,1,Real Estate,47,None,Own,1,Skilled,1,yes,yes,Male,Single,1
None,42,existing credits paid back duly till now ,Radio/TV,7174,None,"[4, 7) Years",4,"Female, Divorced",None,3,Car,30,None,Own,1,Executive,1,yes,yes,Female,Divorced,0
None,10,critical account/ other credits existing (not at this bank),Furniture,2132,None,<1 Year,2,"Female, Divorced",Co-Applicant,3,Real Estate,27,None,Rent,2,Skilled,1,no,no,Female,Divorced,1
None,33,critical account/ other credits existing (not at this bank),Furniture,4281,"[500, 1000) DM","[1, 4) Years",1,"Female, Divorced",None,4,Car,23,None,Own,2,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,12,critical account/ other credits existing (not at this bank),Car (New),2366,"[500, 1000) DM","[4, 7) Years",3,"Male, Divorced",None,3,Car,36,None,Own,1,Executive,1,yes,yes,Male,Divorced,1
None,21,existing credits paid back duly till now ,Radio/TV,1835,Below 100 DM,"[1, 4) Years",3,"Female, Divorced",None,2,Real Estate,25,None,Own,2,Skilled,1,yes,yes,Female,Divorced,0
No Account,24,critical account/ other credits existing (not at this bank),Car (Used),3868,Below 100 DM,Above 7 Years,4,"Female, Divorced",None,2,Car,41,None,Rent,2,Executive,1,yes,yes,Female,Divorced,1
No Account,12,existing credits paid back duly till now ,Furniture,1768,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,2,Real Estate,24,None,Rent,1,Unskilled Resident,1,no,yes,Male,Single,1
Above 200 DM,10,critical account/ other credits existing (not at this bank),Car (New),781,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,63,None,Free,2,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,18,existing credits paid back duly till now ,Furniture,1924,None,<1 Year,4,"Female, Divorced",None,3,Real Estate,27,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
None,12,critical account/ other credits existing (not at this bank),Car (New),2121,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Life Insurance,30,None,Own,2,Skilled,1,no,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Radio/TV,701,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,2,Real Estate,40,None,Own,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
Below 200 DM,12,existing credits paid back duly till now ,Repairs,639,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Car,30,None,Own,1,Skilled,1,no,yes,Male,Single,0
Below 200 DM,12,critical account/ other credits existing (not at this bank),Car (Used),1860,Below 100 DM,Unemployed,4,"Male, Single",None,2,Car,34,None,Own,2,Executive,1,yes,yes,Male,Single,1
None,12,critical account/ other credits existing (not at this bank),Car (New),3499,Below 100 DM,"[1, 4) Years",3,"Female, Divorced",Co-Applicant,2,Real Estate,29,None,Own,2,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,48,existing credits paid back duly till now ,Car (New),8487,None,"[4, 7) Years",1,"Female, Divorced",None,2,Car,24,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
None,36,delay in paying off in the past ,Education,6887,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,3,Life Insurance,29,Stores,Own,1,Skilled,1,yes,yes,Male,Single,0
No Account,15,existing credits paid back duly till now ,Furniture,2708,Below 100 DM,<1 Year,2,"Male, Single",None,3,Life Insurance,27,Bank,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
No Account,18,existing credits paid back duly till now ,Furniture,1984,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,4,None,47,Bank,Free,2,Skilled,1,no,yes,Male,Single,1
No Account,60,existing credits paid back duly till now ,Radio/TV,10144,"[100, 500) DM","[4, 7) Years",2,"Female, Divorced",None,4,Real Estate,21,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
No Account,12,critical account/ other credits existing (not at this bank),Radio/TV,1240,None,Above 7 Years,4,"Female, Divorced",None,2,Real Estate,38,None,Own,2,Skilled,1,yes,yes,Female,Divorced,1
No Account,27,delay in paying off in the past ,Car (Used),8613,Above 1000 DM,"[1, 4) Years",2,"Male, Single",None,2,Car,27,None,Own,2,Skilled,1,no,yes,Male,Single,1
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,766,"[500, 1000) DM","[1, 4) Years",4,"Male, Single",None,3,Real Estate,66,None,Own,1,Unskilled Resident,1,no,yes,Male,Single,0
Below 200 DM,15,critical account/ other credits existing (not at this bank),Radio/TV,2728,None,"[4, 7) Years",4,"Male, Single",Guarantor,2,Real Estate,35,Bank,Own,3,Skilled,1,yes,yes,Male,Single,1
Above 200 DM,12,existing credits paid back duly till now ,Radio/TV,1881,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,2,Car,44,None,Rent,1,Unskilled Resident,1,yes,yes,Female,Divorced,1
Above 200 DM,6,existing credits paid back duly till now ,Car (New),709,Above 1000 DM,<1 Year,2,"Male, Married/Widowed",None,2,Real Estate,27,None,Own,1,"Unemployed, Unskilled",1,no,no,Male,Married/Widowed,1
